lot,hibid_lot_id,item_id,current_bid,price_realized,bid_count,photo_count,status,time_left_seconds,category,title,lot_url
1,322873413,177294,0.0,0,0,1,OPEN,704182.5499999999,Antiques & Collectibles - Collectibles - Advertising | Antiques & Collectibles - Collectibles | Antiques & Collectibles,Important Auction Information,https://hibid.com/lot/322873413
1A,322873415,185719,15.0,0,8,7,OPEN,704192.543,Sporting Goods - Firearms / Weapons - Shotguns | Sporting Goods - Firearms / Weapons | Sporting Goods,Kessler Arms Model 300 12Ga. Bolt Action,https://hibid.com/lot/322873415
1B,322873418,185721,15.0,0,6,12,OPEN,704202.5399999999,Sporting Goods - Firearms / Weapons - Shotguns | Sporting Goods - Firearms / Weapons | Sporting Goods,JC Higgins Model 58314 16GA Bolt Action,https://hibid.com/lot/322873418
1C,322873421,185722,3.0,0,2,13,OPEN,704212.5329999999,Sporting Goods - Firearms / Weapons - Shotguns | Sporting Goods - Firearms / Weapons | Sporting Goods,Iver Johnson 12Ga Single Barrel,https://hibid.com/lot/322873421
1D,322873424,185724,2.0,0,1,13,OPEN,704222.5329999999,Sporting Goods - Firearms / Weapons - Black Powder / Muzzleloader / Percussion | Sporting Goods - Firearms / Weapons | Sporting Goods,Thompson Center 45 Cal. Black Powder,https://hibid.com/lot/322873424
1E,322873427,185727,6.0,0,3,9,OPEN,704232.5299999999,Sporting Goods - Firearms / Weapons - Airsoft / Paintball / Pellet / BB Guns | Sporting Goods - Firearms / Weapons | Sporting Goods,Industry Brand carabiner Air Rifle,https://hibid.com/lot/322873427
2,322873431,179287,225.0,0,13,20,OPEN,704242.527,Construction & Farm - Harvest Equipment - Gravity Wagons | Construction & Farm - Harvest Equipment | Construction & Farm,Brister’s Trail Wagon 340cc,https://hibid.com/lot/322873431
3,322873433,179288,110.0,0,12,6,OPEN,704252.52,"Construction & Farm - Trailers - Utility / Light Duty Trailers (up to 7,500 lbs) - Flat | Construction & Farm - Trailers - Utility / Light Duty Trailers (up to 7,500 lbs) | Construction & Farm - Trailers | Construction & Farm",8ft Utility Trailer,https://hibid.com/lot/322873433
4,322873434,179289,0.0,0,0,5,OPEN,704262.517,Sporting Goods - Sporting Goods / Outdoor Recreation - Outdoor Games & Sports Equipment | Sporting Goods - Sporting Goods / Outdoor Recreation | Sporting Goods,Leather Pocket Pool Table,https://hibid.com/lot/322873434
5,322873435,179290,2.0,0,1,11,OPEN,704272.5129999999,Furniture - Cabinets | Furniture,Curved Glass Etched Light-Up China Cabinet,https://hibid.com/lot/322873435
